customer_key,customer_id,customer_segment,region
1,CUST0001,Consumer,South
2,CUST0002,SMB,West
3,CUST0003,Consumer,North
4,CUST0004,Consumer,West
5,CUST0005,Enterprise,East
6,CUST0006,Consumer,North
7,CUST0007,Consumer,South
8,CUST0008,Consumer,East
9,CUST0009,Enterprise,South
10,CUST0010,SMB,North
11,CUST0011,SMB,East
12,CUST0012,Consumer,East
13,CUST0013,Consumer,North
14,CUST0014,Consumer,South
15,CUST0015,SMB,North
16,CUST0016,SMB,East
17,CUST0017,Consumer,East
18,CUST0018,Enterprise,East
19,CUST0019,Consumer,West
20,CUST0020,Consumer,West
21,CUST0021,Consumer,South
22,CUST0022,SMB,North
23,CUST0023,Consumer,East
24,CUST0024,Consumer,West
25,CUST0025,Consumer,West
26,CUST0026,Enterprise,North
27,CUST0027,SMB,North
28,CUST0028,Enterprise,North
29,CUST0029,Enterprise,North
30,CUST0030,Consumer,East
31,CUST0031,Consumer,East
32,CUST0032,Consumer,South
33,CUST0033,SMB,South
34,CUST0034,SMB,West
35,CUST0035,SMB,South
36,CUST0036,Enterprise,West
37,CUST0037,Enterprise,West
38,CUST0038,SMB,South
39,CUST0039,SMB,North
40,CUST0040,Consumer,West
41,CUST0041,SMB,East
42,CUST0042,Consumer,South
43,CUST0043,Consumer,East
44,CUST0044,SMB,East
45,CUST0045,Consumer,West
46,CUST0046,Consumer,South
47,CUST0047,SMB,West
48,CUST0048,SMB,West
49,CUST0049,Consumer,North
50,CUST0050,Enterprise,North
51,CUST0051,Enterprise,East
52,CUST0052,Enterprise,North
53,CUST0053,Consumer,South
54,CUST0054,Consumer,South
55,CUST0055,Consumer,West
56,CUST0056,Consumer,West
57,CUST0057,SMB,North
58,CUST0058,Consumer,West
59,CUST0059,Enterprise,North
60,CUST0060,Enterprise,East
61,CUST0061,Consumer,West
62,CUST0062,SMB,West
63,CUST0063,Consumer,North
64,CUST0064,Consumer,West
65,CUST0065,Consumer,North
66,CUST0066,Consumer,East
67,CUST0067,Consumer,South
68,CUST0068,SMB,South
69,CUST0069,Enterprise,North
70,CUST0070,SMB,West
71,CUST0071,SMB,South
72,CUST0072,SMB,East
73,CUST0073,Consumer,South
74,CUST0074,SMB,South
75,CUST0075,Enterprise,West
76,CUST0076,SMB,North
77,CUST0077,SMB,East
78,CUST0078,Consumer,East
79,CUST0079,Consumer,South
80,CUST0080,Consumer,South
81,CUST0081,Consumer,North
82,CUST0082,SMB,West
83,CUST0083,Consumer,West
84,CUST0084,Enterprise,North
85,CUST0085,Enterprise,North
86,CUST0086,Enterprise,North
87,CUST0087,Consumer,North
88,CUST0088,SMB,West
89,CUST0089,Enterprise,West
90,CUST0090,SMB,North
91,CUST0091,Enterprise,East
92,CUST0092,Consumer,North
93,CUST0093,SMB,South
94,CUST0094,SMB,East
95,CUST0095,SMB,East
96,CUST0096,Consumer,West
97,CUST0097,SMB,North
98,CUST0098,Enterprise,North
99,CUST0099,Enterprise,South
100,CUST0100,Consumer,South
101,CUST0101,Consumer,West
102,CUST0102,Consumer,West
103,CUST0103,SMB,South
104,CUST0104,Consumer,West
105,CUST0105,Consumer,South
106,CUST0106,Consumer,East
107,CUST0107,SMB,South
108,CUST0108,SMB,North
109,CUST0109,Enterprise,West
110,CUST0110,Consumer,North
111,CUST0111,SMB,North
112,CUST0112,SMB,North
113,CUST0113,SMB,South
114,CUST0114,Consumer,North
115,CUST0115,Enterprise,North
116,CUST0116,Consumer,East
117,CUST0117,Consumer,West
118,CUST0118,Consumer,North
119,CUST0119,SMB,South
120,CUST0120,Consumer,East
121,CUST0121,Consumer,West
122,CUST0122,Consumer,East
123,CUST0123,Enterprise,West
124,CUST0124,SMB,East
125,CUST0125,Enterprise,South
126,CUST0126,SMB,North
127,CUST0127,SMB,West
128,CUST0128,Enterprise,West
129,CUST0129,Enterprise,North
130,CUST0130,Consumer,East
131,CUST0131,Enterprise,North
132,CUST0132,Consumer,East
133,CUST0133,Consumer,West
134,CUST0134,SMB,North
135,CUST0135,Consumer,South
136,CUST0136,Enterprise,North
137,CUST0137,Consumer,East
138,CUST0138,SMB,West
139,CUST0139,Consumer,North
140,CUST0140,Enterprise,South
141,CUST0141,SMB,West
142,CUST0142,SMB,South
143,CUST0143,Consumer,North
144,CUST0144,Consumer,South
145,CUST0145,SMB,East
146,CUST0146,SMB,East
147,CUST0147,SMB,South
148,CUST0148,SMB,West
149,CUST0149,SMB,East
150,CUST0150,Enterprise,South
