date_key,date,year,quarter,month,month_name
1,2025-01-01,2025,Q1,1,January
2,2025-01-02,2025,Q1,1,January
3,2025-01-03,2025,Q1,1,January
4,2025-01-04,2025,Q1,1,January
5,2025-01-05,2025,Q1,1,January
6,2025-01-06,2025,Q1,1,January
7,2025-01-07,2025,Q1,1,January
8,2025-01-08,2025,Q1,1,January
9,2025-01-09,2025,Q1,1,January
10,2025-01-10,2025,Q1,1,January
11,2025-01-11,2025,Q1,1,January
12,2025-01-12,2025,Q1,1,January
13,2025-01-13,2025,Q1,1,January
14,2025-01-14,2025,Q1,1,January
15,2025-01-15,2025,Q1,1,January
16,2025-01-16,2025,Q1,1,January
17,2025-01-17,2025,Q1,1,January
18,2025-01-18,2025,Q1,1,January
19,2025-01-19,2025,Q1,1,January
20,2025-01-20,2025,Q1,1,January
21,2025-01-21,2025,Q1,1,January
22,2025-01-22,2025,Q1,1,January
23,2025-01-23,2025,Q1,1,January
24,2025-01-24,2025,Q1,1,January
25,2025-01-25,2025,Q1,1,January
26,2025-01-26,2025,Q1,1,January
27,2025-01-27,2025,Q1,1,January
28,2025-01-28,2025,Q1,1,January
29,2025-01-29,2025,Q1,1,January
30,2025-01-30,2025,Q1,1,January
31,2025-01-31,2025,Q1,1,January
32,2025-02-01,2025,Q1,2,February
33,2025-02-02,2025,Q1,2,February
34,2025-02-03,2025,Q1,2,February
35,2025-02-04,2025,Q1,2,February
36,2025-02-05,2025,Q1,2,February
37,2025-02-06,2025,Q1,2,February
38,2025-02-07,2025,Q1,2,February
39,2025-02-08,2025,Q1,2,February
40,2025-02-09,2025,Q1,2,February
41,2025-02-10,2025,Q1,2,February
42,2025-02-11,2025,Q1,2,February
43,2025-02-12,2025,Q1,2,February
44,2025-02-13,2025,Q1,2,February
45,2025-02-14,2025,Q1,2,February
46,2025-02-15,2025,Q1,2,February
47,2025-02-16,2025,Q1,2,February
48,2025-02-17,2025,Q1,2,February
49,2025-02-18,2025,Q1,2,February
50,2025-02-19,2025,Q1,2,February
51,2025-02-20,2025,Q1,2,February
52,2025-02-21,2025,Q1,2,February
53,2025-02-22,2025,Q1,2,February
54,2025-02-23,2025,Q1,2,February
55,2025-02-24,2025,Q1,2,February
56,2025-02-25,2025,Q1,2,February
57,2025-02-26,2025,Q1,2,February
58,2025-02-27,2025,Q1,2,February
59,2025-02-28,2025,Q1,2,February
60,2025-03-01,2025,Q1,3,March
61,2025-03-02,2025,Q1,3,March
62,2025-03-03,2025,Q1,3,March
63,2025-03-04,2025,Q1,3,March
64,2025-03-05,2025,Q1,3,March
65,2025-03-06,2025,Q1,3,March
66,2025-03-07,2025,Q1,3,March
67,2025-03-08,2025,Q1,3,March
68,2025-03-09,2025,Q1,3,March
69,2025-03-10,2025,Q1,3,March
70,2025-03-11,2025,Q1,3,March
71,2025-03-12,2025,Q1,3,March
72,2025-03-13,2025,Q1,3,March
73,2025-03-14,2025,Q1,3,March
74,2025-03-15,2025,Q1,3,March
75,2025-03-16,2025,Q1,3,March
76,2025-03-17,2025,Q1,3,March
77,2025-03-18,2025,Q1,3,March
78,2025-03-19,2025,Q1,3,March
79,2025-03-20,2025,Q1,3,March
80,2025-03-21,2025,Q1,3,March
81,2025-03-22,2025,Q1,3,March
82,2025-03-23,2025,Q1,3,March
83,2025-03-24,2025,Q1,3,March
84,2025-03-25,2025,Q1,3,March
85,2025-03-26,2025,Q1,3,March
86,2025-03-27,2025,Q1,3,March
87,2025-03-28,2025,Q1,3,March
88,2025-03-29,2025,Q1,3,March
89,2025-03-30,2025,Q1,3,March
90,2025-03-31,2025,Q1,3,March
91,2025-04-01,2025,Q2,4,April
92,2025-04-02,2025,Q2,4,April
93,2025-04-03,2025,Q2,4,April
94,2025-04-04,2025,Q2,4,April
95,2025-04-05,2025,Q2,4,April
96,2025-04-06,2025,Q2,4,April
97,2025-04-07,2025,Q2,4,April
98,2025-04-08,2025,Q2,4,April
99,2025-04-09,2025,Q2,4,April
100,2025-04-10,2025,Q2,4,April
101,2025-04-11,2025,Q2,4,April
102,2025-04-12,2025,Q2,4,April
103,2025-04-13,2025,Q2,4,April
104,2025-04-14,2025,Q2,4,April
105,2025-04-15,2025,Q2,4,April
106,2025-04-16,2025,Q2,4,April
107,2025-04-17,2025,Q2,4,April
108,2025-04-18,2025,Q2,4,April
109,2025-04-19,2025,Q2,4,April
110,2025-04-20,2025,Q2,4,April
111,2025-04-21,2025,Q2,4,April
112,2025-04-22,2025,Q2,4,April
113,2025-04-23,2025,Q2,4,April
114,2025-04-24,2025,Q2,4,April
115,2025-04-25,2025,Q2,4,April
116,2025-04-26,2025,Q2,4,April
117,2025-04-27,2025,Q2,4,April
118,2025-04-28,2025,Q2,4,April
119,2025-04-29,2025,Q2,4,April
120,2025-04-30,2025,Q2,4,April
121,2025-05-01,2025,Q2,5,May
122,2025-05-02,2025,Q2,5,May
123,2025-05-03,2025,Q2,5,May
124,2025-05-04,2025,Q2,5,May
125,2025-05-05,2025,Q2,5,May
126,2025-05-06,2025,Q2,5,May
127,2025-05-07,2025,Q2,5,May
128,2025-05-08,2025,Q2,5,May
