product_key,product_id,product_category,product_name
1,PROD001,Accessories,Product 001
2,PROD002,Accessories,Product 002
3,PROD003,Home,Product 003
4,PROD004,Electronics,Product 004
5,PROD005,Office,Product 005
6,PROD006,Office,Product 006
7,PROD007,Electronics,Product 007
8,PROD008,Office,Product 008
9,PROD009,Accessories,Product 009
10,PROD010,Electronics,Product 010
11,PROD011,Office,Product 011
12,PROD012,Electronics,Product 012
13,PROD013,Office,Product 013
14,PROD014,Home,Product 014
15,PROD015,Electronics,Product 015
16,PROD016,Accessories,Product 016
17,PROD017,Electronics,Product 017
18,PROD018,Office,Product 018
19,PROD019,Electronics,Product 019
20,PROD020,Accessories,Product 020
21,PROD021,Office,Product 021
22,PROD022,Accessories,Product 022
23,PROD023,Home,Product 023
24,PROD024,Home,Product 024
25,PROD025,Office,Product 025
26,PROD026,Accessories,Product 026
27,PROD027,Accessories,Product 027
28,PROD028,Electronics,Product 028
29,PROD029,Office,Product 029
30,PROD030,Electronics,Product 030
31,PROD031,Home,Product 031
32,PROD032,Accessories,Product 032
33,PROD033,Home,Product 033
34,PROD034,Accessories,Product 034
35,PROD035,Home,Product 035
36,PROD036,Electronics,Product 036
37,PROD037,Home,Product 037
38,PROD038,Office,Product 038
39,PROD039,Accessories,Product 039
40,PROD040,Office,Product 040
