return_key,sales_key,date_key,customer_key,product_key,returned_quantity,return_amount,return_reason
1,4,221,141,14,2,1313.23,Customer Changed Mind
2,20,87,137,2,1,1236.99,Other
3,29,174,108,8,1,88.3,Wrong Item
4,72,16,116,27,2,707.28,Other
5,76,87,59,12,2,38.51,Customer Changed Mind
6,177,184,70,4,1,183.94,Other
7,192,51,131,14,1,208.62,Wrong Item
8,271,65,77,2,2,1328.5,Damaged
9,310,162,123,26,1,502.53,Customer Changed Mind
10,324,104,145,21,1,821.83,Customer Changed Mind
11,335,228,79,22,1,81.77,Customer Changed Mind
12,352,240,52,35,1,32.84,Other
13,359,300,39,14,2,367.86,Other
14,374,282,67,23,2,46.83,Damaged
15,388,272,129,1,1,586.33,Damaged
16,469,355,64,12,1,76.72,Customer Changed Mind
17,478,116,111,23,1,119.22,Other
18,494,237,100,1,1,1610.85,Wrong Item
19,508,132,57,16,1,826.0,Customer Changed Mind
20,543,267,96,37,2,2381.64,Customer Changed Mind
21,556,57,7,5,1,48.17,Other
22,575,275,47,2,1,953.58,Customer Changed Mind
23,602,164,127,19,1,531.03,Damaged
24,608,276,109,5,1,118.03,Wrong Item
25,620,17,24,12,1,28.98,Other
26,660,311,65,13,1,105.7,Wrong Item
27,695,154,62,10,1,392.63,Other
28,730,161,2,10,2,971.66,Other
29,743,355,46,18,1,91.0,Customer Changed Mind
30,751,186,88,21,1,192.6,Wrong Item
31,757,314,3,6,2,320.03,Other
32,761,89,31,14,2,538.75,Damaged
33,765,238,79,9,1,30.71,Wrong Item
34,778,137,87,17,2,498.32,Customer Changed Mind
35,832,101,50,9,1,119.03,Other
36,837,248,124,10,2,596.24,Customer Changed Mind
37,851,195,2,36,1,1501.44,Customer Changed Mind
38,855,69,96,30,1,879.43,Wrong Item
39,867,126,98,12,1,41.53,Customer Changed Mind
40,868,50,6,12,1,27.58,Damaged
41,886,351,133,39,2,1558.53,Customer Changed Mind
42,920,104,69,3,2,383.4,Other
43,942,68,126,34,1,827.98,Other
44,994,41,55,8,2,58.67,Wrong Item
45,1075,204,88,12,2,34.67,Damaged
46,1130,362,119,32,1,1101.64,Wrong Item
47,1148,227,19,28,1,246.23,Wrong Item
48,1187,55,53,31,1,254.14,Customer Changed Mind
49,1189,338,134,18,2,258.0,Customer Changed Mind
50,1292,124,94,6,2,230.56,Damaged
51,1295,266,147,20,1,61.05,Damaged
52,1335,283,86,33,2,1741.53,Wrong Item
53,1358,198,77,37,1,229.95,Customer Changed Mind
54,1371,271,106,27,2,805.19,Customer Changed Mind
55,1373,310,63,32,2,1109.41,Customer Changed Mind
56,1375,305,144,10,2,747.99,Wrong Item
57,1377,41,41,29,1,217.28,Customer Changed Mind
58,1391,141,40,15,1,943.41,Customer Changed Mind
59,1418,59,95,29,2,1065.84,Damaged
60,1430,194,137,16,2,526.7,Damaged
61,1435,132,118,6,1,157.75,Customer Changed Mind
62,1443,305,35,17,1,204.0,Customer Changed Mind
63,1447,136,79,8,1,158.21,Customer Changed Mind
64,1449,351,122,3,1,339.46,Customer Changed Mind
65,1486,19,9,19,1,1775.27,Damaged
66,1511,321,60,26,1,72.85,Damaged
67,1520,231,134,22,2,246.9,Wrong Item
68,1536,173,1,38,1,119.55,Customer Changed Mind
69,1542,65,146,22,1,62.22,Wrong Item
70,1569,144,148,26,1,128.02,Damaged
71,1588,161,134,16,2,857.77,Other
72,1610,91,44,29,2,1294.27,Customer Changed Mind
73,1621,103,12,13,2,335.12,Wrong Item
74,1647,199,53,33,1,501.03,Customer Changed Mind
75,1670,122,144,19,2,1482.8,Customer Changed Mind
76,1769,1,66,21,2,340.11,Other
77,1780,357,47,21,2,770.4,Damaged
78,1792,129,64,16,1,166.74,Damaged
79,1892,164,79,4,2,1114.97,Damaged
80,1910,269,104,5,1,187.16,Other
81,1940,99,123,23,2,132.65,Other
82,1954,78,30,1,2,1052.12,Wrong Item
83,1958,236,21,7,2,1724.83,Customer Changed Mind
84,1962,325,16,35,1,106.92,Damaged
85,1965,303,36,36,2,1636.29,Other
86,2015,19,44,7,2,1691.72,Damaged
87,2016,43,129,8,1,170.8,Customer Changed Mind
88,2041,335,24,29,1,1569.05,Other
89,2054,139,138,20,1,247.94,Customer Changed Mind
90,2059,172,127,4,2,582.25,Other
91,2082,341,138,7,1,539.28,Other
92,2084,143,120,37,2,2805.55,Other
93,2090,208,29,25,1,364.04,Wrong Item
94,2112,79,69,19,1,439.85,Customer Changed Mind
95,2139,226,49,12,2,23.28,Wrong Item
96,2159,342,123,33,1,434.65,Other
97,2167,22,22,16,1,736.62,Wrong Item
98,2195,185,95,28,2,512.21,Other
99,2239,213,64,40,1,368.18,Other
100,2292,342,40,9,1,158.13,Wrong Item
101,2303,264,69,25,1,695.84,Other
102,2304,196,59,8,1,22.75,Customer Changed Mind
103,2349,79,32,28,1,150.2,Other
104,2355,167,20,21,1,237.61,Other
105,2370,163,140,2,2,990.09,Damaged
106,2383,299,150,33,1,291.69,Customer Changed Mind
107,2405,96,56,20,2,231.76,Customer Changed Mind
108,2448,264,118,40,2,328.4,Other
109,2496,237,115,40,1,622.74,Damaged
110,2506,231,76,20,1,268.72,Customer Changed Mind
111,2510,242,4,31,1,1712.0,Customer Changed Mind
112,2573,140,115,26,2,550.57,Customer Changed Mind
113,2582,176,145,4,2,342.45,Other
114,2605,333,41,9,1,37.0,Customer Changed Mind
115,2687,225,111,3,1,852.9,Customer Changed Mind
116,2693,273,94,35,2,53.08,Other
117,2699,22,33,17,2,522.32,Damaged
118,2712,334,150,25,2,1487.69,Customer Changed Mind
119,2715,110,6,26,2,251.35,Customer Changed Mind
120,2720,86,135,28,1,306.03,Other
121,2745,209,77,20,1,90.82,Other
122,2761,124,52,26,1,129.27,Wrong Item
123,2768,72,8,8,1,100.69,Customer Changed Mind
124,2773,271,86,7,2,2230.07,Customer Changed Mind
125,2785,89,118,3,1,160.12,Customer Changed Mind
126,2806,291,58,9,2,187.5,Customer Changed Mind
127,2809,197,146,34,1,258.24,Customer Changed Mind
128,2821,188,32,32,2,1405.24,Damaged
129,2824,83,120,36,2,2487.01,Other
130,2886,185,101,19,2,1202.12,Wrong Item
131,2893,351,13,30,2,988.04,Damaged
132,2988,194,14,6,1,333.74,Other
133,2995,149,89,19,1,1031.95,Customer Changed Mind
134,3011,23,67,37,1,241.19,Wrong Item
135,3056,231,14,1,1,728.07,Damaged
136,3057,150,102,1,2,979.97,Other
137,3074,291,45,40,2,502.03,Damaged
138,3077,155,138,9,1,181.91,Other
139,3078,57,34,24,2,116.12,Wrong Item
140,3114,228,121,9,1,63.91,Customer Changed Mind
141,3119,226,17,19,1,675.47,Damaged
142,3122,250,103,30,1,461.81,Other
143,3166,176,22,17,2,708.82,Damaged
144,3171,204,24,8,1,20.65,Damaged
145,3173,354,68,4,1,580.71,Wrong Item
146,3179,156,51,8,2,104.55,Damaged
147,3247,139,127,9,1,58.72,Customer Changed Mind
148,3254,161,7,10,1,910.04,Customer Changed Mind
149,3276,150,50,25,1,1739.52,Damaged
150,3282,121,54,34,2,569.94,Customer Changed Mind
151,3305,326,28,40,2,181.2,Damaged
152,3324,162,93,36,2,1784.43,Other
153,3351,319,86,40,1,162.26,Customer Changed Mind
154,3367,132,33,13,2,391.72,Wrong Item
155,3379,81,39,20,2,232.35,Wrong Item
156,3399,51,77,38,2,235.36,Other
157,3420,331,126,10,1,1890.08,Customer Changed Mind
158,3455,48,74,7,2,1482.1,Damaged
159,3497,114,51,20,1,179.76,Customer Changed Mind
160,3502,276,51,9,1,170.55,Wrong Item
161,3513,13,6,21,2,717.96,Other
162,3528,56,127,29,2,938.89,Damaged
163,3551,120,99,24,2,255.63,Other
164,3553,278,87,15,2,358.1,Damaged
165,3577,312,121,32,1,1235.0,Customer Changed Mind
166,3592,104,26,10,2,2721.05,Customer Changed Mind
167,3604,163,108,10,1,2113.35,Damaged
168,3605,351,36,33,2,1189.49,Other
169,3611,34,136,33,1,794.72,Wrong Item
170,3616,166,137,23,1,197.96,Customer Changed Mind
171,3619,188,116,22,2,229.62,Damaged
172,3675,261,47,18,2,548.8,Other
173,3681,137,81,4,2,1266.3,Other
174,3695,21,16,34,2,1197.9,Damaged
175,3721,56,75,9,2,79.45,Customer Changed Mind
176,3728,125,91,21,1,668.91,Wrong Item
177,3755,129,140,5,2,180.7,Customer Changed Mind
178,3761,153,7,24,2,215.6,Customer Changed Mind
179,3764,124,63,18,1,236.37,Customer Changed Mind
180,3813,49,34,6,2,156.3,Customer Changed Mind
181,3821,190,48,15,1,107.63,Damaged
182,3832,164,59,40,2,191.7,Customer Changed Mind
183,3833,169,86,20,1,70.13,Damaged
184,3845,335,83,12,1,8.09,Damaged
185,3883,83,146,14,1,402.09,Other
186,3887,116,75,19,2,1263.9,Damaged
187,3926,162,51,38,2,661.51,Damaged
188,3942,33,10,18,1,86.28,Other
189,4006,229,11,9,1,112.55,Other
190,4008,142,59,5,1,70.42,Other
191,4014,282,21,3,2,1132.06,Damaged
192,4106,16,42,10,1,3066.08,Wrong Item
193,4112,347,106,23,2,123.1,Wrong Item
194,4167,49,99,31,1,1132.47,Other
195,4186,135,17,27,2,405.2,Damaged
196,4212,21,136,37,1,424.58,Customer Changed Mind
197,4234,19,136,4,2,883.79,Customer Changed Mind
198,4255,255,41,33,2,1784.15,Wrong Item
199,4268,49,62,9,1,158.95,Customer Changed Mind
200,4270,254,64,34,2,532.54,Customer Changed Mind
201,4272,310,75,9,2,179.53,Wrong Item
202,4287,123,85,17,1,952.6,Other
203,4334,356,76,31,1,246.14,Other
204,4352,46,43,16,1,834.9,Wrong Item
205,4393,182,102,16,1,195.6,Damaged
206,4397,253,70,1,2,1436.02,Other
207,4414,263,14,23,1,249.79,Customer Changed Mind
208,4417,105,41,36,1,1277.68,Damaged
209,4421,346,76,25,1,950.19,Customer Changed Mind
210,4440,81,98,3,1,1855.08,Wrong Item
211,4443,329,4,6,1,329.39,Damaged
212,4477,83,119,38,2,495.01,Customer Changed Mind
213,4494,147,140,27,1,66.64,Damaged
214,4516,347,25,5,2,187.89,Wrong Item
215,4524,344,86,7,1,1430.18,Wrong Item
216,4525,241,91,20,1,233.61,Customer Changed Mind
217,4533,250,43,27,2,448.14,Customer Changed Mind
218,4574,234,6,34,1,274.4,Other
219,4580,350,111,34,1,292.51,Customer Changed Mind
220,4609,343,111,6,2,93.12,Customer Changed Mind
221,4647,168,125,30,2,375.35,Customer Changed Mind
222,4707,342,99,8,1,131.85,Wrong Item
223,4861,83,71,25,1,1336.65,Other
224,4866,299,101,24,1,254.47,Damaged
225,4872,293,21,35,2,71.23,Other
226,4883,132,61,31,1,3263.49,Customer Changed Mind
227,4919,205,52,27,1,100.95,Other
