return_key,sales_key,date_key,product_key,customer_key,return_quantity,return_amount,return_reason_category,return_reason,return_condition,days_to_return,refund_type,defect_flag,damaged_flag,wrong_item_flag,quality_issue_flag,delivery_issue_flag,customer_comment
1,1,20260108,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
2,2,20260115,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
3,3,20260122,1,4,1,4499.1,Customer Preference,Changed Mind,Good,4,Refund,False,False,False,False,False,Customer requested return
4,12,20260327,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
5,13,20260403,1,14,1,4999.0,Customer Preference,Not As Expected,Good,4,Exchange,False,False,False,False,False,Customer requested return
6,14,20260410,1,15,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Store Credit,False,True,False,False,True,Package arrived damaged
7,15,20260417,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
8,24,20260620,1,10,1,4499.1,Customer Preference,Changed Mind,Good,4,Refund,False,False,False,False,False,Customer requested return
9,25,20260627,1,11,1,9998.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
10,26,20260704,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
11,36,20260913,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
12,50,20261221,1,6,1,9998.0,Product Quality,Battery Issue,Defective,9,Store Credit,True,False,False,True,False,Battery performance below expectation
13,51,20261228,1,7,1,14497.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
14,60,20260302,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
15,61,20260309,1,2,1,4999.0,Product Quality,Battery Issue,Defective,4,Exchange,True,False,False,True,False,Battery performance below expectation
16,62,20260316,1,3,1,4999.0,Product Quality,Audio Defect,Defective,4,Store Credit,True,False,False,True,False,Audio quality issue
17,63,20260323,1,4,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Refund,False,True,False,False,True,Package arrived damaged
18,72,20260526,1,13,1,4499.1,Product Quality,Audio Defect,Defective,4,Refund,True,False,False,True,False,Audio quality issue
19,73,20260602,1,14,1,4999.0,Customer Preference,Changed Mind,Good,4,Exchange,False,False,False,False,False,Customer requested return
20,74,20260609,1,15,1,4999.0,Customer Preference,Not As Expected,Good,4,Store Credit,False,False,False,False,False,Customer requested return
21,75,20260616,1,1,1,9498.1,Product Quality,Battery Issue,Defective,9,Refund,True,False,False,True,False,Battery performance below expectation
22,84,20260819,1,10,1,4249.15,Delivery,Damaged During Delivery,Damaged,4,Refund,False,True,False,False,True,Package arrived damaged
23,85,20260826,1,11,1,14997.0,Product Quality,Battery Issue,Defective,9,Exchange,True,False,False,True,False,Battery performance below expectation
24,86,20260902,1,12,1,4999.0,Product Quality,Battery Issue,Defective,4,Store Credit,True,False,False,True,False,Battery performance below expectation
25,96,20261112,1,7,1,4499.1,Product Quality,Battery Issue,Defective,4,Refund,True,False,False,True,False,Battery performance below expectation
