sales_key,date_key,customer_key,product_key,quantity,unit_price,discount_amount,sales_amount,cost_amount,profit_amount
1,341,76,36,2,480.59,0.0,961.18,611.06,350.12
2,317,14,23,5,39.6,19.8,178.21,129.12,49.09
3,275,39,12,4,18.54,0.0,74.17,58.62,15.55
4,221,141,14,4,372.82,149.13,1342.16,788.44,553.72
5,106,95,12,7,17.7,0.0,123.92,86.45,37.47
6,151,145,33,3,284.53,0.0,853.59,489.85,363.74
7,44,54,25,3,412.28,123.68,1113.15,678.8,434.35
8,137,93,36,5,488.36,0.0,2441.78,1546.76,895.02
9,339,36,13,2,171.51,51.45,291.57,205.95,85.62
10,156,57,19,6,384.15,230.49,2074.39,1451.69,622.7
11,42,27,5,2,62.07,0.0,124.14,89.83,34.31
12,238,125,39,2,290.32,0.0,580.65,447.74,132.91
13,352,28,21,1,245.48,24.55,220.93,132.68,88.25
14,317,31,23,3,34.9,0.0,104.7,78.6,26.1
15,101,70,17,5,221.1,55.28,1050.23,766.77,283.46
16,166,65,11,5,353.18,0.0,1765.89,1009.24,756.64
17,194,48,38,7,160.2,0.0,1121.42,721.15,400.27
18,91,54,20,6,64.29,0.0,385.75,215.05,170.7
19,99,45,27,3,155.06,23.26,441.93,253.82,188.11
20,87,137,2,6,344.65,103.39,1964.49,1231.0,733.5
21,364,88,12,2,16.43,1.64,31.21,19.22,12.0
22,273,138,33,2,290.95,0.0,581.91,461.48,120.43
23,307,149,4,3,224.34,0.0,673.03,532.59,140.45
24,299,98,5,4,54.75,0.0,218.98,154.61,64.38
25,351,124,33,2,295.31,0.0,590.63,442.06,148.57
26,39,17,13,7,166.29,0.0,1164.04,954.39,209.65
27,322,143,11,2,334.22,33.42,635.01,419.58,215.43
28,25,73,23,3,37.44,0.0,112.33,77.62,34.7
29,174,108,8,5,27.9,0.0,139.52,101.27,38.26
30,217,37,2,4,343.98,68.8,1307.14,1043.82,263.32
31,131,15,1,3,287.02,0.0,861.06,658.88,202.18
32,54,133,4,7,219.02,229.97,1303.15,739.4,563.75
33,71,68,7,4,381.26,0.0,1525.04,1132.34,392.7
34,302,21,28,1,87.86,0.0,87.86,54.3,33.56
35,117,99,12,6,16.92,10.15,91.35,56.53,34.82
36,114,9,3,5,266.56,66.64,1266.15,883.46,382.69
37,338,68,1,2,247.27,49.45,445.09,328.47,116.61
38,53,106,20,6,63.17,0.0,379.03,224.76,154.27
39,335,109,34,3,326.6,0.0,979.8,622.09,357.71
40,337,68,14,2,360.6,36.06,685.15,509.31,175.84
41,219,56,3,2,275.96,0.0,551.93,326.21,225.72
42,61,126,10,6,421.43,126.43,2402.15,1872.29,529.86
43,57,28,20,2,61.37,0.0,122.74,82.62,40.12
44,104,12,8,4,27.29,0.0,109.17,77.31,31.85
45,211,24,40,6,107.71,0.0,646.27,369.48,276.79
46,57,121,31,6,485.87,291.52,2623.68,2119.18,504.49
47,167,71,14,4,399.89,0.0,1599.55,1271.69,327.85
48,43,6,39,7,307.02,322.37,1826.75,1098.46,728.29
49,198,26,14,3,353.42,0.0,1060.26,772.97,287.29
50,8,5,6,7,75.97,0.0,531.81,406.38,125.43
51,259,123,38,2,136.8,0.0,273.6,159.49,114.11
52,21,70,39,1,320.7,16.03,304.66,215.07,89.6
53,72,11,13,6,173.87,104.32,938.88,731.97,206.91
54,64,34,24,6,86.51,0.0,519.04,356.48,162.56
55,304,93,7,7,379.76,0.0,2658.34,2125.14,533.21
56,20,90,26,7,109.39,38.29,727.43,409.47,317.95
57,157,123,28,1,75.45,0.0,75.45,60.22,15.23
58,216,4,29,5,399.99,100.0,1899.96,1546.28,353.68
59,189,11,23,5,39.82,9.96,189.16,112.0,77.16
60,249,6,29,5,365.77,0.0,1828.86,1218.67,610.19
61,294,60,23,1,34.96,1.75,33.21,23.83,9.38
62,144,110,33,1,253.95,12.7,241.26,190.88,50.38
63,303,100,8,5,29.24,0.0,146.18,86.7,59.49
64,117,32,20,6,61.5,0.0,368.99,236.22,132.77
65,360,99,17,2,255.29,0.0,510.58,390.82,119.76
66,185,99,22,1,97.49,9.75,87.74,57.97,29.77
67,269,29,6,3,75.55,11.33,215.32,153.6,61.73
68,320,113,13,3,170.32,0.0,510.95,358.28,152.67
69,290,64,39,7,301.5,0.0,2110.51,1715.33,395.18
70,311,9,5,7,55.62,0.0,389.34,229.01,160.32
71,196,59,26,4,109.24,0.0,436.96,352.22,84.74
72,16,116,27,7,142.16,0.0,995.09,698.88,296.22
73,180,105,19,2,395.64,0.0,791.28,628.37,162.91
74,67,41,2,7,388.31,0.0,2718.14,1581.53,1136.6
75,325,114,2,4,321.71,64.34,1222.49,884.11,338.38
76,87,59,12,4,17.15,3.43,65.17,50.63,14.54
77,84,70,5,1,52.72,0.0,52.72,40.2,12.52
78,92,13,4,2,222.87,22.29,423.46,234.04,189.42
79,235,150,7,2,421.3,0.0,842.61,566.31,276.3
80,209,126,8,4,29.1,0.0,116.41,67.65,48.76
81,347,30,34,2,361.8,108.54,615.06,363.66,251.4
82,152,85,26,1,94.67,0.0,94.67,70.12,24.55
83,104,118,2,5,356.37,0.0,1781.84,1440.22,341.62
84,18,76,26,7,95.11,0.0,665.74,480.13,185.6
85,3,32,6,1,82.22,4.11,78.11,45.12,32.99
86,137,146,17,4,222.85,0.0,891.39,548.99,342.4
87,338,41,2,7,328.92,345.37,1957.07,1276.59,680.48
88,192,51,4,3,196.35,0.0,589.04,343.91,245.13
89,327,56,6,2,71.29,0.0,142.58,111.06,31.52
90,38,134,18,1,106.02,0.0,106.02,63.88,42.14
91,35,76,19,7,334.04,116.91,2221.38,1299.46,921.92
92,305,108,15,3,233.54,0.0,700.61,522.61,178.0
93,39,136,25,1,461.08,46.11,414.97,242.44,172.53
94,19,140,29,7,353.49,247.44,2226.96,1471.54,755.42
95,148,129,30,6,244.13,0.0,1464.79,1009.52,455.28
96,338,137,24,5,83.16,0.0,415.79,237.69,178.1
97,252,143,22,1,102.8,0.0,102.8,71.96,30.83
98,37,149,20,1,62.66,3.13,59.53,40.46,19.07
99,306,97,10,2,459.62,45.96,873.28,637.9,235.37
100,308,20,20,2,63.42,0.0,126.84,77.27,49.57
101,293,17,1,4,251.78,151.07,856.05,553.26,302.79
102,330,120,39,3,325.2,0.0,975.6,710.34,265.26
103,88,48,15,6,228.45,137.07,1233.63,690.35,543.28
104,358,121,31,1,496.59,49.66,446.93,259.79,187.15
105,118,141,39,6,310.53,0.0,1863.2,1167.41,695.8
106,293,97,20,7,65.2,0.0,456.41,264.13,192.28
107,212,115,35,1,36.43,0.0,36.43,20.43,16.01
108,285,42,20,5,59.17,29.59,266.27,217.43,48.84
109,230,66,6,4,69.62,0.0,278.46,187.42,91.04
110,235,145,2,1,344.63,34.46,310.17,215.28,94.88
111,225,123,6,3,71.92,0.0,215.77,133.52,82.25
112,285,31,38,6,145.19,0.0,871.16,480.95,390.22
113,270,141,20,7,59.68,41.78,375.99,283.0,92.98
114,50,75,13,3,169.4,0.0,508.21,378.82,129.38
115,302,127,18,1,116.92,5.85,111.07,90.26,20.82
116,196,79,11,2,377.24,0.0,754.49,419.27,335.22
117,118,91,35,6,35.65,0.0,213.89,125.55,88.34
118,188,25,40,4,110.59,0.0,442.35,328.35,114.0
119,353,51,4,4,236.5,0.0,946.0,604.61,341.39
120,314,109,29,1,388.57,19.43,369.14,209.38,159.76
121,305,127,14,6,387.34,0.0,2324.05,1467.08,856.97
122,169,14,2,4,332.66,0.0,1330.63,763.36,567.27
123,287,12,37,4,493.14,0.0,1972.54,1531.0,441.55
124,141,104,3,6,276.18,82.85,1574.2,1238.54,335.66
125,251,68,9,4,41.85,16.74,150.65,108.77,41.89
126,234,128,2,7,373.25,130.64,2482.08,1623.56,858.52
127,92,11,19,4,395.16,237.1,1343.55,1017.84,325.71
128,98,53,24,3,92.06,0.0,276.18,199.0,77.18
129,23,6,13,7,170.67,0.0,1194.7,912.56,282.15
130,52,107,3,5,296.47,0.0,1482.37,1019.79,462.58
131,159,129,5,6,61.07,0.0,366.43,296.35,70.08
132,175,24,38,2,134.11,13.41,254.81,160.1,94.71
133,61,49,33,5,280.23,140.12,1261.04,899.28,361.75
134,153,127,38,4,139.35,0.0,557.4,428.18,129.22
135,221,7,22,1,93.44,9.34,84.09,66.55,17.55
136,85,143,22,2,93.48,0.0,186.97,150.62,36.34
137,124,134,32,7,336.06,117.62,2234.8,1467.49,767.31
138,135,23,25,4,393.91,0.0,1575.65,1164.13,411.53
139,185,21,18,6,107.06,32.12,610.26,383.46,226.8
140,134,104,12,2,15.44,0.0,30.88,22.4,8.48
141,269,2,20,2,66.91,13.38,120.45,72.24,48.21
142,120,76,3,7,292.32,204.62,1841.59,1222.43,619.16
143,159,10,8,3,29.65,0.0,88.94,71.01,17.92
144,139,80,30,7,228.67,0.0,1600.66,1230.82,369.84
145,67,53,35,6,32.95,9.88,187.79,128.46,59.33
