sales_key,order_id,order_line_id,date_key,product_key,customer_key,quantity,unit_price,discount_amount,gross_sales,net_sales,unit_cost,total_cost,profit,profit_margin_pct,shipping_cost,delivery_days,promised_delivery_days,delivery_delay_days,stock_level_at_sale,promotion_name,sales_channel
1,ORD000001,1,20260108,1,2,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Mobile App
2,ORD000002,1,20260115,1,3,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,3,3,0,25,No Promotion,Marketplace
3,ORD000003,1,20260122,1,4,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Marketplace
4,ORD000004,1,20260129,5,5,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,3,3,0,25,No Promotion,Online
5,ORD000005,1,20260205,6,6,2,2999.0,0.0,5998.0,5998.0,1100.0,2200.0,3798.0,63.32,80,3,3,0,25,No Promotion,Mobile App
6,ORD000006,1,20260212,7,7,1,2499.0,249.9,2499.0,2249.1,900.0,900.0,1349.1,59.98,80,3,3,0,25,Welcome Offer 10%,Marketplace
7,ORD000007,1,20260219,8,8,1,27999.0,4199.85,27999.0,23799.15,15000.0,15000.0,8799.15,36.97,80,6,3,3,25,Festive Offer 15%,Marketplace
8,ORD000008,1,20260226,9,9,1,15999.0,0.0,15999.0,15999.0,8500.0,8500.0,7499.0,46.87,80,3,3,0,25,No Promotion,Online
9,ORD000009,1,20260305,10,10,1,9999.0,999.9,9999.0,8999.1,4200.0,4200.0,4799.1,53.33,180,3,3,0,25,Welcome Offer 10%,Mobile App
10,ORD000010,1,20260312,11,11,2,7999.0,0.0,15998.0,15998.0,4800.0,9600.0,6398.0,39.99,80,3,3,0,25,No Promotion,Marketplace
11,ORD000011,1,20260320,12,12,1,3499.0,874.75,3499.0,2624.25,1600.0,1600.0,1024.25,39.03,80,3,3,0,8,Mega Sale 25%,Marketplace
12,ORD000012,1,20260327,1,13,1,4999.0,499.9,4999.0,4499.1,1800.0,1800.0,2699.1,59.99,80,3,3,0,25,Welcome Offer 10%,Online
13,ORD000013,1,20260403,1,14,1,4999.0,0.0,4999.0,4999.0,1800.0,1800.0,3199.0,63.99,80,8,3,5,25,No Promotion,Mobile App
14,ORD000014,1,20260410,1,15,1,4999.0,749.85,4999.0,4249.15,1800.0,1800.0,2449.15,57.64,80,6,3,3,25,Festive Offer 15%,Marketplace
15,ORD000015,1,20260417,1,1,2,4999.0,499.9,9998.0,9498.1,1800.0,3600.0,5898.1,62.1,80,3,3,0,25,Welcome Offer 10%,Marketplace
16,ORD000016,1,20260424,5,2,1,1999.0,0.0,1999.0,1999.0,700.0,700.0,1299.0,64.98,80,3,3,0,25,No Promotion,Online
