product_key,product_id,category,sub_category,product_name
1,FUR-BO-10000112,Apparels,Party Wear,"Bush Birmingham Collection Bookcase, Dark Cherry"
2,FUR-BO-10000330,Apparels,Party Wear,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish"
3,FUR-BO-10000362,Apparels,Party Wear,Sauder Inglewood Library Bookcases
4,FUR-BO-10000468,Apparels,Party Wear,O'Sullivan 2-Shelf Heavy-Duty Bookcases
5,FUR-BO-10000711,Apparels,Party Wear,"Hon Metal Bookcases, Gray"
6,FUR-BO-10000780,Apparels,Party Wear,O'Sullivan Plantations 2-Door Library in Landvery Oak
7,FUR-BO-10001337,Apparels,Party Wear,O'Sullivan Living Dimensions 2-Shelf Bookcases
8,FUR-BO-10001519,Apparels,Party Wear,O'Sullivan 3-Shelf Heavy-Duty Bookcases
9,FUR-BO-10001567,Apparels,Party Wear,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"
10,FUR-BO-10001601,Apparels,Party Wear,"Sauder Mission Library with Doors, Fruitwood Finish"
11,FUR-BO-10001608,Apparels,Party Wear,"Hon Metal Bookcases, Black"
12,FUR-BO-10001619,Apparels,Party Wear,O'Sullivan Cherrywood Estates Traditional Bookcase
13,FUR-BO-10001798,Apparels,Party Wear,Bush Somerset Collection Bookcase
14,FUR-BO-10001811,Apparels,Party Wear,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors"
15,FUR-BO-10001918,Apparels,Party Wear,"Sauder Forest Hills Library with Doors, Woodland Oak Finish"
16,FUR-BO-10001972,Apparels,Party Wear,O'Sullivan 4-Shelf Bookcase in Odessa Pine
17,FUR-BO-10002202,Apparels,Party Wear,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
18,FUR-BO-10002206,Apparels,Party Wear,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order"
19,FUR-BO-10002213,Apparels,Party Wear,DMI Eclipse Executive Suite Bookcases
20,FUR-BO-10002268,Apparels,Party Wear,Sauder Barrister Bookcases
21,FUR-BO-10002545,Apparels,Party Wear,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
22,FUR-BO-10002598,Apparels,Party Wear,"Hon Metal Bookcases, Putty"
23,FUR-BO-10002613,Apparels,Party Wear,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
24,FUR-BO-10002824,Apparels,Party Wear,Bush Mission Pointe Library
25,FUR-BO-10002853,Apparels,Party Wear,O'Sullivan 5-Shelf Heavy-Duty Bookcases
26,FUR-BO-10002916,Apparels,Party Wear,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases"
27,FUR-BO-10003034,Apparels,Party Wear,"O'Sullivan Elevations Bookcase, Cherry Finish"
28,FUR-BO-10003159,Apparels,Party Wear,"Sauder Camden County Collection Libraries, Planked Cherry Finish"
29,FUR-BO-10003272,Apparels,Party Wear,O'Sullivan Living Dimensions 5-Shelf Bookcases
30,FUR-BO-10003404,Apparels,Party Wear,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"
31,FUR-BO-10003433,Apparels,Party Wear,Sauder Cornerstone Collection Library
32,FUR-BO-10003441,Apparels,Party Wear,"Bush Westfield Collection Bookcases, Fully Assembled"
33,FUR-BO-10003450,Apparels,Party Wear,"Bush Westfield Collection Bookcases, Dark Cherry Finish"
34,FUR-BO-10003546,Apparels,Party Wear,Hon 4-Shelf Metal Bookcases
35,FUR-BO-10003660,Apparels,Party Wear,"Bush Cubix Collection Bookcases, Fully Assembled"
36,FUR-BO-10003893,Apparels,Party Wear,Sauder Camden County Collection Library
37,FUR-BO-10003894,Apparels,Party Wear,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black"
38,FUR-BO-10003965,Apparels,Party Wear,O'Sullivan Manor Hill 2-Door Library in Brianna Oak
39,FUR-BO-10003966,Apparels,Party Wear,"Sauder Facets Collection Library, Sky Alder Finish"
40,FUR-BO-10004015,Apparels,Party Wear,"Bush Andora Bookcase, Maple/Graphite Gray Finish"
41,FUR-BO-10004218,Apparels,Party Wear,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
42,FUR-BO-10004357,Apparels,Party Wear,O'Sullivan Living Dimensions 3-Shelf Bookcases
43,FUR-BO-10004360,Apparels,Party Wear,Rush Hierlooms Collection Rich Wood Bookcases
44,FUR-BO-10004409,Apparels,Party Wear,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
45,FUR-BO-10004467,Apparels,Party Wear,Bestar Classic Bookcase
46,FUR-BO-10004690,Apparels,Party Wear,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase
47,FUR-BO-10004695,Apparels,Party Wear,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
48,FUR-BO-10004709,Apparels,Party Wear,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
49,FUR-BO-10004834,Apparels,Party Wear,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
50,FUR-CH-10000015,Apparels,Formal Wear,Hon Multipurpose Stacking Arm Chairs
51,FUR-CH-10000155,Apparels,Formal Wear,Global Comet Stacking Armless Chair
52,FUR-CH-10000225,Apparels,Formal Wear,"Global Geo Office Task Chair, Gray"
