sales_key,order_id,order_date_key,ship_date_key,customer_key,product_key,location_key,ship_mode_key,sales,quantity,discount,profit
1,CA-2016-152156,20211108,20211111,144,13,272,3,261.96,2,0.0,41.9136
2,CA-2016-152156,20211108,20211111,144,56,272,3,731.94,3,0.0,219.582
3,CA-2016-138688,20210612,20210616,238,947,67,3,14.62,2,0.0,6.8714
4,US-2015-108966,20201011,20201018,706,320,159,4,957.5775,5,0.45,-383.031
5,US-2015-108966,20201011,20201018,706,1317,159,4,22.368,2,0.2,2.5164
6,CA-2014-115812,20190609,20190614,89,186,66,4,48.86,7,0.0,14.1694
7,CA-2014-115812,20190609,20190614,89,563,66,4,7.28,4,0.0,1.9656
8,CA-2014-115812,20190609,20190614,89,1762,66,4,907.152,6,0.2,90.7152
9,CA-2014-115812,20190609,20190614,89,795,66,4,18.504,3,0.2,5.7825
10,CA-2014-115812,20190609,20190614,89,438,66,4,114.9,5,0.0,34.47
11,CA-2014-115812,20190609,20190614,89,329,66,4,1706.184,9,0.2,85.3091999999998
12,CA-2014-115812,20190609,20190614,89,1751,66,4,911.424,4,0.2,68.3568
13,CA-2017-114412,20220415,20220420,3,1168,422,4,15.552,3,0.2,5.4432
14,CA-2016-161389,20211205,20211210,339,782,613,4,407.976,3,0.2,132.5922
15,US-2015-118983,20201122,20201126,331,422,538,4,68.81,5,0.8,-123.858
16,US-2015-118983,20201122,20201126,331,664,538,4,2.544,3,0.8,-3.816
17,CA-2014-105893,20191111,20191118,598,1409,625,4,665.88,6,0.0,13.3176
18,CA-2014-167164,20190513,20190515,19,1295,584,3,55.5,2,0.0,9.98999999999999
19,CA-2014-143336,20190827,20190901,793,568,98,3,8.56,2,0.0,2.4824
20,CA-2014-143336,20190827,20190901,793,1750,98,3,213.48,3,0.2,16.011
21,CA-2014-143336,20190827,20190901,793,731,98,3,22.72,4,0.2,7.384
22,CA-2016-137330,20211209,20211213,418,478,359,4,19.46,7,0.0,5.0596
23,CA-2016-137330,20211209,20211213,418,409,359,4,60.34,7,0.0,15.6884
24,US-2017-156909,20220716,20220718,685,96,484,3,71.372,2,0.3,-1.0196
25,CA-2015-106320,20200925,20200930,250,320,580,4,1044.63,3,0.0,240.2649
26,CA-2016-121755,20210116,20210120,259,703,69,3,11.648,2,0.2,4.2224
27,CA-2016-121755,20210116,20210120,259,1547,69,3,90.57,3,0.0,11.7741
